customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_total,segment
CUST_00361,84,8,8458.14,3,3,5,11,Loyal
CUST_00362,96,8,3841.27,2,3,2,7,At Risk
CUST_00363,64,7,4120.35,3,2,2,7,At Risk
CUST_00364,338,2,1177.49,1,1,1,3,Lost
CUST_00365,166,9,5555.48,1,3,3,7,At Risk
CUST_00366,1,9,4875.09,5,3,3,11,Loyal
CUST_00367,38,6,1480.75,4,1,1,6,Lost
CUST_00368,270,9,5028.11,1,3,3,7,At Risk
CUST_00369,33,20,11811.22,4,5,5,14,Champions
CUST_00370,164,5,5322.16,1,1,3,5,Lost
CUST_00371,447,3,2242.11,1,1,1,3,Lost
CUST_00372,94,4,1958.5,2,1,1,4,Lost
CUST_00373,123,10,7997.16,2,4,5,11,Loyal
CUST_00374,33,10,5569.26,4,4,3,11,Loyal
CUST_00375,143,6,2546.68,2,1,1,4,Lost
CUST_00376,7,14,10018.53,5,5,5,15,Champions
CUST_00377,12,12,8805.45,5,5,5,15,Champions
CUST_00378,80,3,1493.4,3,1,1,5,Lost
CUST_00379,14,5,4573.99,5,1,2,8,At Risk
CUST_00380,123,6,4569.66,2,1,2,5,Lost
CUST_00381,95,6,3177.39,2,1,1,4,Lost
CUST_00382,81,7,5404.89,3,2,3,8,At Risk
CUST_00383,66,9,6289.33,3,3,4,10,Loyal
CUST_00384,153,9,5209.77,1,3,3,7,At Risk
CUST_00385,47,10,9167.89,4,4,5,13,Champions
CUST_00386,204,11,7908.0,1,5,5,11,Loyal
CUST_00387,34,9,5766.4,4,3,3,10,Loyal
CUST_00388,74,12,8944.76,3,5,5,13,Champions
CUST_00389,39,10,5846.11,4,4,3,11,Loyal
CUST_00390,343,6,3536.44,1,1,2,4,Lost
CUST_00391,142,8,4605.15,2,3,2,7,At Risk
CUST_00392,294,5,3132.87,1,1,1,3,Lost
CUST_00393,11,10,9117.41,5,4,5,14,Champions
CUST_00394,28,7,3548.63,4,2,2,8,At Risk
CUST_00395,105,5,3077.01,2,1,1,4,Lost
CUST_00396,55,8,4676.04,3,3,2,8,At Risk
CUST_00397,102,3,1800.43,2,1,1,4,Lost
CUST_00398,15,6,4355.62,5,1,2,8,At Risk
CUST_00399,10,8,5969.0,5,3,3,11,Loyal
CUST_00400,145,3,1921.87,2,1,1,4,Lost
CUST_00401,59,5,1814.17,3,1,1,5,Lost
CUST_00402,1,5,2057.93,5,1,1,7,At Risk
CUST_00403,439,8,7238.31,1,3,4,8,At Risk
CUST_00404,167,7,6134.64,1,2,4,7,At Risk
CUST_00405,133,4,2596.5,2,1,1,4,Lost
CUST_00406,156,8,4723.37,1,3,2,6,Lost
CUST_00407,238,5,3931.18,1,1,2,4,Lost
CUST_00408,23,10,6874.6,4,4,4,12,Loyal
CUST_00409,1,10,6998.11,5,4,4,13,Champions
CUST_00410,36,16,15167.24,4,5,5,14,Champions
CUST_00411,153,12,10353.53,1,5,5,11,Loyal
CUST_00412,12,9,7116.41,5,3,4,12,Loyal
CUST_00413,144,9,3472.14,2,3,2,7,At Risk
CUST_00414,54,4,3441.0,3,1,2,6,Lost
CUST_00415,257,8,3692.74,1,3,2,6,Lost
CUST_00416,18,10,5700.76,5,4,3,12,Loyal
CUST_00417,514,4,3250.87,1,1,1,3,Lost
CUST_00418,16,12,8612.28,5,5,5,15,Champions
CUST_00419,213,17,12570.13,1,5,5,11,Loyal
CUST_00420,68,3,1903.37,3,1,1,5,Lost
CUST_00421,4,6,6758.24,5,1,4,10,Loyal
CUST_00422,136,8,5392.91,2,3,3,8,At Risk
CUST_00423,5,10,7685.32,5,4,5,14,Champions
CUST_00424,59,5,5092.06,3,1,3,7,At Risk
CUST_00425,99,9,6516.25,2,3,4,9,At Risk
CUST_00426,15,11,10177.36,5,5,5,15,Champions
CUST_00427,96,9,5536.43,2,3,3,8,At Risk
CUST_00428,135,4,3302.34,2,1,1,4,Lost
CUST_00429,4,9,4994.9,5,3,3,11,Loyal
CUST_00430,195,5,3896.5,1,1,2,4,Lost
CUST_00431,17,9,7411.2,5,3,4,12,Loyal
CUST_00432,13,7,3817.53,5,2,2,9,At Risk
CUST_00433,86,9,3721.27,2,3,2,7,At Risk
CUST_00434,51,11,5381.72,3,5,3,11,Loyal
CUST_00435,33,11,6899.66,4,5,4,13,Champions
CUST_00436,99,4,2243.96,2,1,1,4,Lost
CUST_00437,253,5,2054.71,1,1,1,3,Lost
CUST_00438,104,5,2781.76,2,1,1,4,Lost
CUST_00439,57,10,7522.73,3,4,4,11,Loyal
CUST_00440,176,9,4522.79,1,3,2,6,Lost
CUST_00441,20,8,5978.94,5,3,3,11,Loyal
CUST_00442,39,6,6074.53,4,1,4,9,At Risk
CUST_00443,18,4,1696.64,5,1,1,7,At Risk
CUST_00444,60,8,2864.28,3,3,1,7,At Risk
CUST_00445,3,9,5960.58,5,3,3,11,Loyal
CUST_00446,210,6,4760.57,1,1,2,4,Lost
CUST_00447,169,10,5676.4,1,4,3,8,At Risk
CUST_00448,59,5,3259.0,3,1,1,5,Lost
CUST_00449,12,11,9607.04,5,5,5,15,Champions
CUST_00450,197,10,9095.12,1,4,5,10,Loyal
CUST_00451,2,6,2977.17,5,1,1,7,At Risk
CUST_00452,239,3,2637.47,1,1,1,3,Lost
CUST_00453,8,6,4609.05,5,1,2,8,At Risk
CUST_00454,30,10,5872.17,4,4,3,11,Loyal
CUST_00455,11,8,3958.7,5,3,2,10,Loyal
CUST_00456,63,15,16233.85,3,5,5,13,Champions
CUST_00457,24,9,5700.96,4,3,3,10,Loyal
CUST_00458,107,10,7502.98,2,4,4,10,Loyal
CUST_00459,80,8,3290.25,3,3,1,7,At Risk
CUST_00460,18,10,10127.27,5,4,5,14,Champions
CUST_00461,425,5,4576.15,1,1,2,4,Lost
CUST_00462,160,10,5016.12,1,4,3,8,At Risk
CUST_00463,6,8,4404.87,5,3,2,10,Loyal
CUST_00464,25,12,8277.66,4,5,5,14,Champions
CUST_00465,69,5,3396.82,3,1,1,5,Lost
CUST_00466,22,9,10141.35,4,3,5,12,Loyal
CUST_00467,32,4,4163.17,4,1,2,7,At Risk
CUST_00468,100,4,2362.97,2,1,1,4,Lost
CUST_00469,119,10,4933.83,2,4,3,9,At Risk
CUST_00470,150,8,4606.8,1,3,2,6,Lost
CUST_00471,19,7,6699.56,5,2,4,11,Loyal
CUST_00472,11,6,5097.48,5,1,3,9,At Risk
CUST_00473,38,10,7631.28,4,4,4,12,Loyal
CUST_00474,105,4,3142.79,2,1,1,4,Lost
CUST_00475,63,9,7484.9,3,3,4,10,Loyal
CUST_00476,65,7,8612.55,3,2,5,10,Loyal
CUST_00477,46,8,6277.21,4,3,4,11,Loyal
CUST_00478,139,10,5180.3,2,4,3,9,At Risk
CUST_00479,5,7,5661.9,5,2,3,10,Loyal
CUST_00480,45,12,8468.7,4,5,5,14,Champions
CUST_00481,57,4,1230.05,3,1,1,5,Lost
CUST_00482,10,5,3590.29,5,1,2,8,At Risk
CUST_00483,42,8,4306.47,4,3,2,9,At Risk
CUST_00484,95,6,1538.98,2,1,1,4,Lost
CUST_00485,43,6,5433.64,4,1,3,8,At Risk
CUST_00486,13,9,7466.35,5,3,4,12,Loyal
CUST_00487,238,4,3573.37,1,1,2,4,Lost
